0.000,"Info","2000-02-28 22:48:44","Service 'E_locomotion_traking' : Execution start"
0.000,"Info","Subject Identification","Z0107D3_B_210421_1"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","0107D3"
"TIME","","","","","","TEMPERATURE","ROUND","VARIABLE","A1","A2","A3","A4","A5","A6","A7","A8","B1","B2","B3","B4","B5","B6","B7","B8","C1","C2","C3","C4","C5","C6","C7","C8","D1","D2","D3","D4","D5","D6","D7","D8","E1","E2","E3","E4","E5","E6","E7","E8","F1","F2","F3","F4","F5","F6","F7","F8"
964.342,"","","","","",24.78,1,"BINARENADISTANCE",0.0,12.5,2.8,1.4,3.2,8.6,4.6,1.4,3.0,6.0,2.8,0.0,3.0,3.0,10.2,1.4,6.3,0.0,3.0,1.4,6.0,5.8,0.0,1.4,5.8,1.4,6.0,1.4,1.4,0.0,6.0,2.8,7.4,0.0,10.4,7.4,3.2,4.4,4.4,2.8,7.4,26.9,2.8,6.0,5.8,0.0,0.0,0.0
1324.351,"","","","","",24.96,2,"BINARENADISTANCE",0.0,1.4,8.8,4.6,4.4,3.0,5.8,4.4,1.4,10.4,24.6,0.0,23.9,4.4,4.4,16.7,56.6,1.4,17.2,6.0,1.4,3.0,5.8,1.4,2.8,6.5,9.1,1.4,4.4,3.0,8.6,2.8,2.8,0.0,12.3,1.4,0.0,6.0,2.8,5.8,1.4,4.4,1.6,3.0,7.2,0.0,0.0,0.0
1684.354,"","","","","",25.04,3,"BINARENADISTANCE",1.4,1.4,5.8,9.1,6.3,12.1,0.0,36.4,7.7,21.4,1.4,7.9,39.2,50.6,29.5,133.2,144.1,1.4,1.4,3.2,1.6,11.4,30.9,0.0,1.4,6.5,6.0,6.0,3.2,5.8,1.4,6.0,4.4,4.4,1.6,1.6,1.4,1.4,1.4,4.4,5.8,3.0,3.0,13.5,2.8,0.0,0.0,0.0
2044.358,"","","","","",25.04,4,"BINARENADISTANCE",1.4,1.6,5.8,2.8,10.7,39.9,0.0,1.6,8.8,149.5,1.4,5.8,85.9,124.2,28.5,56.2,31.6,6.3,7.4,2.8,2.8,5.8,81.5,3.0,18.1,17.4,8.8,7.2,1.4,2.8,10.7,4.4,19.5,1.4,5.8,3.0,4.4,17.6,32.3,1.6,13.2,295.5,3.0,11.6,5.8,0.0,0.0,0.0
2404.362,"","","","","",24.87,5,"BINARENADISTANCE",1.4,2.8,8.8,2.8,12.3,15.6,1.6,3.2,23.7,171.5,159.0,31.6,21.1,16.5,62.0,115.6,52.0,3.0,38.3,7.4,4.4,4.2,162.5,2.8,52.9,24.6,5.1,1.4,7.9,4.2,10.0,26.9,2.8,1.6,16.5,3.0,1.4,234.2,14.6,6.0,2.8,6.7,6.3,17.6,6.0,0.0,0.0,0.0
2404.363,"Info","2000-02-28 23:28:49","Service 'E_locomotion_traking' : Execution end"
